Assignment,name←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Assignment.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Expression,"
Dfn Self,∇ <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Recursion.htm'>Link to docs<a/>,"Primitive,Ambivalent Monadic Function, Dyadic Function,nan,Expression,"
Abort (cut stack back one frame),→ <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Expression,"
Return: Leave function and return to caller,→0 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>,"Primitive,Niladic Function,nan,Expression,"
Branch to first line or label in Jv (does nothing if Jv is empty),→Jv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>,"Primitive,Niladic Function,nan,Expression,"
Dfn/dop Right Argument,⍵ <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Functions%20and%20Operators.htm'>Link to docs<a/>,"Primitive,Array,nan,Expression,"
Dfn/dop Left Argument,⍺ <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Functions%20and%20Operators.htm'>Link to docs<a/>,"Primitive,Array,nan,Expression,"
"Avoiding parentheses by swapping arguments in (X,Y) f Z","Z f⍨X,Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>","Primitive,Dyadic Function,Monadic Operator,Function Application,"
Outer Product: g between each item of X and every item of Y,X∘.g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Outer%20Product.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Mathematical,"
Combining two lines into one,expr⊣name←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Left.htm'>Link to docs<a/>,"Primitive,nan,nan,Identity,"
Dop Self,∇∇ <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Recursion.htm'>Link to docs<a/>,"Primitive,Ambivalent Monadic Function, Dyadic Function,Monadic Operator;Dyadic Operator,Expression,"
N-row matrix from N vectors,↑Xv Yv … <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Dop Right Operand,⍵⍵ <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Operators.htm'>Link to docs<a/>,"Primitive,Array, Monadic Function, Dyadic Function,nan,Expression,"
Dop Left Operand,⍺⍺ <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Operators.htm'>Link to docs<a/>,"Primitive,Array, Monadic Function, Dyadic Function,nan,Expression,"
Reverse axis ax of Y,⌽[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reverse.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Rotate vectors along axis ax of Y,I⌽[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Split: Nest sub-arrays (from axis ax),↓[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Drop Iv items along axes ax of Y,Iv↓[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Mix: Remove nesting (adding axes between ⌊ax and ⌈ax),↑[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Take Iv items along axes ax of Y,Iv↑[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
N-wise Reduce: f between all items of Y in groups of Is on axis ax,Is f/[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First%20N%20Wise.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Replicate along axis ax,Iv/[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Reduce: f between all items of Y on axis ax,f/[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
Ravel with Axis: insert new axis between ⌊ax and ⌈ax,",[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ravel%20with%20Axes.htm'>Link to docs<a/>","Primitive,Monadic Function,nan,Structural,"
Ravel with Axes: combine axes,",[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ravel%20with%20Axes.htm'>Link to docs<a/>","Primitive,Monadic Function,nan,Structural,"
Laminate: Join along new axis,"X,[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Structural,"
Enclose: Contain axes ax inside scalars,⊂[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enclose%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Partitioned enclose of Y according to Av (along axis ax),Av⊂[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partitioned%20Enclose.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Partition Y according to Mv (along axis ax),Mv⊆[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partition.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Index Y using indices Iv along axes ax,Iv⌷[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Expand axis ax of Y,Iv\[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Scan: f between items of Y in progressively longer vectors along axis ax,f\[ax]Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
Indexed Assignment,name[I]←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Assignment%20Indexed.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Expression,"
Modified Indexed Assignment (tradfns/tradops only),name[I]f←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Indexed%20Modified.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Expression,"
Constant: ignore arguments and return Y,X(Y⍨)Z <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Structural,"
"Curry: f between Z and Y, that is, Z f Y",(f∘Y)Z <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Bind.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Composition,"
Rank: f between every trailing rank-Is subarray of X and every trailing rank-Js subarray of Y,X(f⍤Is Js)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Rank.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Function Application,"
Rank: f on every trailing rank-Js subarray of Y,(f⍤Js)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Rank.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Function Application,"
Unpack a vector X into an array based on mask B,X@{B}Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
At: apply X∘f to modify positions N in Y,X(f@N)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Function Application,"
At: apply X∘f to modify positions identified by Boolean mask (g Y) in Y,X(f@g)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Function Application,"
At: use values in X to replace positions N in Y,(X@N)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
At: use values in X to replace positions identified by Boolean mask (g Y) in Y,(X@g)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
Amend row Is of matrix Ym,(Xv@Js)Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
At: apply f to modify positions N in Y,(f@N)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Function Application,"
At: apply f to modify positions identified by Boolean mask (g Y) in Y,(f@g)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Function Application,"
Power: apply X∘f on Y Js times,X(f⍣Js)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Iteration,"
Power: apply f on Y Js times,(f⍣Js)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Iteration,"
Stencil: f on padding-size and (possibly overlapping) rectangles of Y of size and (optionally step) Jm,(f⌺Jm)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Stencil.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Function Application,"
I-beam: Call experimental system-related dyadic function Ns,X(Ns⌶)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/I%20Beam.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,System,"
Variant: f qualified by Zv between X and Y,X(f⍠Zv)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Variant.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,System,"
Variant: f qualified by Zv on Y,(f⍠Zv)Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Variant.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,System,"
"Selective Assignment: exp is an expression that selects elements of ""name""",(exp name)←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Assignment%20Selective.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Expression,"
"Modified Selective Assignment: exp is an expression that selects elements of ""name"" (tradfns/tradops only)",(exp name)f←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Selective%20Modified.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Expression,"
Modified Indexed Assignment (also dfns/dops),name[I]f∘⊢←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Indexed%20Modified.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Expression,"
"Modified Selective Assignment: exp is an expression that selects elements of ""name"" (also dfns/dops)",(exp name)f∘⊢←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Selective%20Modified.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Expression,"
The null item,⎕NULL <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/null.htm'>Link to docs<a/>,"System,Constant,nan,System Function,"
The letters from A to Z,⎕A <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/a.htm'>Link to docs<a/>,"System,Constant,nan,System Function,"
Casefold,⎕C Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/c.htm?Highlight=%E2%8E%95C'>Link to docs<a/>,"System,Monadic Function,nan,Text,"
Clear the active workspace,⎕CLEAR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/clear.htm'>Link to docs<a/>,"System,Constant,System,System Function,"
The digits from 0 to 9,⎕D <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/d.htm'>Link to docs<a/>,"System,Constant,nan,System Function,"
Namespace containing details of most recent error in current thread,⎕DMX <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/dmx.htm'>Link to docs<a/>,"System,Namespace,Error Message,System,"
Details of most recent .NET exception,⎕EXCEPTION <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/exception.htm'>Link to docs<a/>,"System,Namespace,Error Message,System,"
Key Label: Key-press to invoke system action with code Dv (e.g. 'ED'),⎕KL Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/kl.htm'>Link to docs<a/>,"System,Function,System,System Function,"
Load saved workspace,⎕LOAD file <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/load.htm'>Link to docs<a/>,"System,Monadic Function,File Access,System Function,"
Terminate the APL session,⎕OFF <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/off.htm'>Link to docs<a/>,"System,Constant,System,System Function,"
Terminate the APL session with exit code Y,⎕OFF J <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/off.htm'>Link to docs<a/>,"System,Constant,System,System Function,"
Session object,⎕SE <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/se.htm'>Link to docs<a/>,"System,Namespace,System,System Function,"
Uppercase,1∘⎕C Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/c.htm?Highlight=%E2%8E%95C'>Link to docs<a/>,"System,Monadic Function,nan,Text,"
Convert (⎕TS-style or Dyalog date number) date-times to Modified Julian Date numbers,1∘⎕DT N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/dt.htm'>Link to docs<a/>,"System,Monadic Function,Data Conversion,System Function,"
"Function result: 0:none or not a function, 1:explicit, ¯1:shy",10∘⎕ATX Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/atx.htm'>Link to docs<a/>,"System,Monadic Function,System,System function,"
Convert (⎕TS-style or Dyalog date number) date-times to J nanosecond time numbers,10∘⎕DT N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/dt.htm'>Link to docs<a/>,"System,Monadic Function,Data Conversion,System Function,"
"Function valence: 0:niladic, 1:monadic, 2:dyadic, ¯2:ambival",11∘⎕ATX Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/atx.htm'>Link to docs<a/>,"System,Monadic Function,System,System function,"
Convert (⎕TS-style or Dyalog date number) date-times to Shakti K7 time numbers,11∘⎕DT N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/dt.htm'>Link to docs<a/>,"System,Monadic Function,Data Conversion,System Function,"
"Operator valence: 0:not an operator, 1:monadic, 2:dyadic",12∘⎕ATX Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/atx.htm'>Link to docs<a/>,"System,Monadic Function,System,System function,"
Convert (⎕TS-style or Dyalog date number) date-times to JavaScript/D/Q time numbers,12∘⎕DT N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/dt.htm'>Link to docs<a/>,"System,Monadic Function,Data Conversion,System Function,"
Convert (⎕TS-style or Dyalog date number) date-times to R chron format time numbers,13∘⎕DT N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/dt.htm'>Link to docs<a/>,"System,Monadic Function,Data Conversion,System Function,"
